question,cue,feat_type,correct_response,proposition_id
Is it an animal?,alligator,nonvisual,yes,alligator:nonvisual:yes:1
Is it a reptile?,alligator,nonvisual,yes,alligator:nonvisual:yes:2
Does it live in swamps?,alligator,nonvisual,yes,alligator:nonvisual:yes:3
Does it live in water?,alligator,nonvisual,yes,alligator:nonvisual:yes:4
Does it eat people?,alligator,nonvisual,yes,alligator:nonvisual:yes:5
Is it long?,alligator,visual,yes,alligator:visual:yes:2
Does it have scales?,alligator,visual,yes,alligator:visual:yes:3
Does it have a tail?,alligator,visual,yes,alligator:visual:yes:4
Does it have jaws?,alligator,visual,yes,alligator:visual:yes:5
Is it a mammal?,alligator,nonvisual,no,alligator:nonvisual:no:1
Does it live in the desert?,alligator,nonvisual,no,alligator:nonvisual:no:2
Is it used for freight?,alligator,nonvisual,no,alligator:nonvisual:no:3
Is it found in summer?,alligator,nonvisual,yes,alligator:nonvisual:yes:6
Is it a pet?,alligator,nonvisual,no,alligator:nonvisual:no:5
Does it have a long tongue?,alligator,visual,yes,alligator:visual:yes:1
Is it grey?,alligator,visual,no,alligator:visual:no:2
Is it round?,alligator,visual,no,alligator:visual:no:3
Is it small?,alligator,visual,no,alligator:visual:no:4
Is it made of metal?,alligator,visual,no,alligator:visual:no:5
Is it a fruit?,apple,nonvisual,yes,apple:nonvisual:yes:1
Does it grow on trees?,apple,nonvisual,yes,apple:nonvisual:yes:2
Is it eaten in pies?,apple,nonvisual,yes,apple:nonvisual:yes:3
Is it nutritious?,apple,nonvisual,yes,apple:nonvisual:yes:4
Is it used for cider?,apple,nonvisual,yes,apple:nonvisual:yes:5
Is it red?,apple,visual,yes,apple:visual:yes:1
Does it have seeds?,apple,visual,yes,apple:visual:yes:3
Is it round?,apple,visual,yes,apple:visual:yes:4
Does it have a core?,apple,visual,yes,apple:visual:yes:5
Is it an animal?,apple,nonvisual,no,apple:nonvisual:no:1
Does it live in Africa?,apple,nonvisual,no,apple:nonvisual:no:2
Is it fast?,apple,nonvisual,no,apple:nonvisual:no:3
Is it timid?,apple,nonvisual,no,apple:nonvisual:no:4
Is it used in experiments?,apple,nonvisual,no,apple:nonvisual:no:5
Is it black?,apple,visual,no,apple:visual:no:1
Does it have pockets?,apple,visual,no,apple:visual:no:2
